fold,r2,mae,rmse,trial_number
1,0.9858807192731058,436.2027346460111,940.4461196880357,0
2,0.989618601569386,400.5707761137359,842.4811342676152,0
3,0.9936012287161742,360.21683934006535,687.864219966019,0
4,0.9939849655523453,386.3767576582285,697.7894899484356,0
5,0.9947310453774411,348.21156911741315,651.2284694132073,0
1,0.9887543617990233,348.1187670835269,839.3047593737749,1
2,0.9927797960061185,320.12793516253714,702.5981287831304,1
3,0.995159810976055,297.83316679285525,598.2539674285954,1
4,0.9962026293518615,292.46100306854044,554.430175233354,1
5,0.9960258324148079,283.21926716462224,565.580252331334,1
1,0.9831916751091758,504.68018580708565,1026.1003820133799,2
2,0.9881740631150813,446.3715496879605,899.187028562685,2
3,0.9920859840366624,407.95260205306846,764.9849429932889,2
4,0.9920977942836572,456.98250814747774,799.7965567864787,2
5,0.9929471222414048,412.8041376913952,753.4498092712482,2
1,0.988626807653612,357.06410989107883,844.0512635222279,3
2,0.9928291083948383,318.4648778794778,700.1947235313633,3
3,0.995221328790275,296.31182221284837,594.4399669964147,3
4,0.9964725466781863,281.7194373259994,534.3625358856293,3
5,0.9963792584408329,276.87836467589244,539.8460305713556,3
1,0.9885949601833195,353.874219749739,845.2322030904446,4
2,0.9928901135908348,317.79452100496053,697.209965425987,4
3,0.995229453855796,295.7643273380689,593.9343956522096,4
4,0.9965162527957501,278.9749134861071,531.0417680677674,4
5,0.9964109034672114,276.1859983850466,537.4817451574155,4
1,0.988775348362387,351.90084019653267,838.5212401227217,5
2,0.9927062915570144,320.9014234585868,706.1654320132428,5
3,0.9952626517323232,295.2847560271994,591.8642151188988,5
4,0.9961597567782883,294.61794365069125,557.5511681454375,5
5,0.9959265815193385,289.49907012799514,572.5991034037578,5
