fold,r2,mae,rmse,trial_number
2,0.9887410703459873,347.64175984586745,839.8006087549546,0
3,0.992860124432259,316.1398690395691,698.6788172031723,0
4,0.9953059803697998,292.90574141903903,589.1513496141176,0
5,0.9965573642495564,276.8479558276215,527.8990757486536,0
6,0.9963974305918275,273.61632077764494,538.4896090383285,0
2,0.9887941056717048,347.91448552054266,837.8203284536793,1
3,0.9929144668190909,316.3167534130198,696.0148775540468,1
4,0.9952538682085329,294.27114608242584,592.4126491419307,1
5,0.9965123094387076,277.90315870748066,531.3422340485689,1
6,0.9964019503111284,273.64176269504094,538.1517132978075,1
2,0.9887232829238328,348.5133603897033,840.4637265273369,2
3,0.99297428479658,314.92505106742453,693.0706780221213,2
4,0.9952860829117758,294.3381935999562,590.3987046208401,2
5,0.9965531167216223,276.463372728572,528.2246366025814,2
6,0.9964169197081312,273.1885527150585,537.0310779952225,2
2,0.9887785922094503,348.40978443172895,838.4000679342059,3
3,0.9930125434500231,313.1423993288051,691.1810378215871,3
4,0.9952812038140576,293.2721894399701,590.7041690483993,3
5,0.9965314044788294,278.0247423036969,529.8856933180513,3
6,0.9964182644212913,271.83678141177444,536.9302959212755,3
2,0.98873871226822,349.41361098900893,839.8885483516382,4
3,0.9928871075569093,315.6293956102299,697.3573387599206,4
4,0.995281682581037,293.2243318862092,590.6742019960674,4
5,0.9965296752197491,277.6787646736079,530.0177634114968,4
6,0.9964140275675136,272.68569554741146,537.2477708931091,4
2,0.9888126915499821,347.58181301003657,837.1252438738212,5
3,0.9929907187045303,313.5862407209316,692.25961980773,5
4,0.9952937534247398,293.3829375672792,589.9181589728023,5
5,0.9965543381634959,276.86140490551946,528.1310371380882,5
6,0.9964101139584772,272.62698610226806,537.5408579723817,5
2,0.9887980792674014,347.601120973177,837.6717702781588,6
3,0.9929614019884898,314.21209138802675,693.7058167210486,6
4,0.9952705387721303,294.1287046970563,591.3713232203235,6
