fold,r2,mae,rmse,trial_number
1,0.9851811123992696,540.1075994772777,963.4638723663226,0
2,0.9873458249109995,657.6876617092164,930.1418272517346,0
3,0.9859821386601454,877.3055066802349,1018.1114133236301,0
4,0.9937107101398022,560.6978415349726,713.5200311561337,0
5,0.9941762513457436,520.1456103436396,684.6560662710618,0
1,0.9758500210347294,775.8884044421211,1229.9459044367106,1
2,0.9804074938215661,822.5708666991286,1157.3834050939417,1
3,0.9771115485256993,865.608163511244,1300.9560701216622,1
4,0.9697476649470702,1078.524746372532,1564.8936031004744,1
5,0.9624948614380493,1148.4583414074827,1737.466885504663,1
1,0.9817932049185926,631.1770414528651,1067.9339285801177,2
2,0.9810844009883211,777.511167011922,1137.2142794760118,2
3,0.9916160868844277,518.0969192798718,787.3680912072978,2
4,0.9801944121431717,861.7746664441875,1266.1910316474346,2
5,0.9816336162615932,920.287998156379,1215.8583339653524,2
1,0.9857098788796457,565.057430338429,946.1186146085112,3
2,0.9929899634941715,365.2152280933679,692.2969123297709,3
3,0.9936296284729528,393.0013697588425,686.3360437174482,3
4,0.9907820937866981,525.6178225425025,863.8165231018735,3
5,0.9824652828036776,725.6470835819297,1188.0111915265732,3
1,0.9563984646806123,1046.715190359994,1652.64100183395,4
2,0.9399414719213971,1285.3765991683035,2026.3739649447382,4
3,0.9333088366136821,1381.987455532102,2220.6932520810433,4
4,0.9500211206855197,1348.9829330823586,2011.4008125783712,4
5,0.9360760438369388,1413.8271746975327,2268.3129460119912,4
1,0.9852217926090179,568.9035686578934,962.1405325570846,5
2,0.9871973028443741,568.0554487672692,935.5844416591807,5
3,0.9887286810492723,644.1294630300074,912.9390750329537,5
4,0.992395288883394,538.6107702596822,784.5971475818097,5
5,0.9923653523188669,499.3963043528531,783.9089973360955,5
1,0.9879222854352123,428.4451627406572,869.8012212270817,6
2,0.9931082863925926,417.9560650098581,686.4293832520926,6
3,0.9957900477922638,324.30476092835335,557.9470799107002,6
4,0.9960503995959026,352.59740003941914,565.4340316796848,6
5,0.9959044656108059,391.07956405040244,574.151412273121,6
1,0.9855834910138126,450.4692623856579,950.2933404536593,7
2,0.9922730075565661,449.7206424625874,726.8377889732218,7
3,0.9958004715849037,301.73432378231433,557.2559165812754,7
4,0.9957360170000922,347.60985658500215,587.5070692679174,7
5,0.9964486687580218,400.99613757551424,534.6465145560137,7
1,0.9822950880711465,620.075752802291,1053.1118936999912,8
2,0.9870908296767272,650.505327785794,939.4667636524796,8
3,0.9657856739562825,1000.4923759918777,1590.5906345427054,8
4,0.9909754738445133,617.59182696263,854.7076053540238,8
5,0.9704295422115966,1050.5649417860807,1542.7664041940764,8
1,0.9869690028204096,391.85771635983906,903.4756614373032,9
2,0.9936745235014126,336.2422015800538,657.6258529467752,9
3,0.9952629759824094,407.43709524701796,591.8439595565161,9
4,0.9966591246603054,292.46265954935626,520.0385034660814,9
5,0.995460075451433,421.07010050466675,604.4988326359206,9
1,0.9831469556385154,757.7740695005941,1027.4644734907215,10
2,0.991258057444037,447.96779113658243,773.100989308502,10
3,0.9786825548115774,1006.1496886517991,1255.5152831152868,10
4,0.9953764194266584,352.5444469321647,611.7790201723415,10
5,0.995354657659428,359.7637149663977,611.476838461949,10
1,0.9875650428799722,379.228344877869,882.5712544895728,11
2,0.9936582526450212,345.4103576618682,658.4711065597858,11
3,0.9959874724443287,327.1330312287575,544.7076066770348,11
4,0.9965347711738994,307.72366398985855,529.6284715348717,11
5,0.997097555149028,290.1146530691621,483.34044457047014,11
1,0.986845939194021,569.9502522575009,907.7318099345393,12
2,0.9891639053720642,528.3059763686282,860.7333872916148,12
3,0.9863811072636792,744.9694644068167,1003.518367495055,12
4,0.9931040841013717,577.396279194492,747.138889497099,12
5,0.9930368027734835,489.49910768116365,748.6442565770175,12
1,0.9780580788359444,758.5877664099565,1172.3707039830388,13
2,0.9842003866927994,645.1418067733056,1039.334835278846,13
3,0.9874684243413668,628.0064229277663,962.625288138586,13
4,0.9915353197382597,587.077670674782,827.7718312578754,13
5,0.9891722527136585,608.3499905082022,933.5556344369658,13
1,0.9863417373205223,426.96818705428643,924.9651343607044,14
2,0.9928328795734823,368.1802167175647,700.0105827861858,14
3,0.995807271846431,306.4699008771985,556.8045538436257,14
4,0.996220508039526,300.6271267199153,553.1234580558411,14
5,0.9954102662578976,359.7431059333732,607.8058769591698,14
1,0.9854894487982424,538.1553713938896,953.3877935965052,15
2,0.9894050270160977,513.946251105534,851.1031182067045,15
3,0.9941119468126625,416.8765854383113,659.8425055044102,15
4,0.9953557112803662,410.61414891956633,613.1475110662374,15
5,0.9963962154911143,386.23613324866074,538.5804142206572,15
1,0.9875322178573399,411.83745076772516,883.7353649782216,16
2,0.9918872619737819,461.35678307173447,744.7593785796256,16
3,0.995417596662594,322.62223467880335,582.1046686289816,16
4,0.9961377258790752,330.8090346809399,559.1481746755678,16
5,0.987362706460904,643.5403672561852,1008.5517461834778,16
1,0.987372544685948,398.41030771830367,889.3763004110481,17
2,0.9909081540225748,490.43247435344193,788.4211930445962,17
3,0.994677196051444,363.13121557616444,627.3713201541261,17
4,0.9951205187721794,470.95517072189455,628.481054120598,17
5,0.9970405517990656,284.71493732999966,488.06371398652044,17
1,0.9874810796536831,365.7584605969795,885.5458871906783,18
2,0.9932083305924833,344.24799638675114,681.4288613650108,18
3,0.995901068017709,323.50721265522566,550.5411453038511,18
4,0.9963754910433011,313.0977960954605,541.6639757373196,18
5,0.996715926516442,322.3135183358225,514.1354881738898,18
1,0.9883892123896805,396.5291250589745,852.8221521870063,19
2,0.9933242425500811,348.2027277720239,675.5889372167172,19
3,0.9958793506818826,295.8987400394363,551.9976822546408,19
4,0.9960869085231383,343.1379833776566,562.8146126366238,19
5,0.9946463833965395,364.9461487683372,656.439614915597,19
1,0.9867377257801264,485.72891769556577,911.4579430143448,20
2,0.9919642370238283,435.72613850614044,741.2177553052344,20
3,0.9951313933575684,420.0933083627711,600.0076253948096,20
4,0.9957675199914385,319.2313319083198,585.3327474620261,20
5,0.9964262883428857,317.7958170338208,536.3285342754014,20
1,0.9872671821039852,367.0576529609551,893.0790386589549,21
2,0.9927804874839546,368.56691640381746,702.5644841197203,21
3,0.9959586254239859,304.9538692982029,546.662116743779,21
4,0.9961496641643368,320.94946096594924,558.2833426485477,21
5,0.9967558750309544,351.9515144834459,510.99886646013886,21
1,0.9875243059322775,467.66495765677126,884.0157251491152,22
2,0.993334868205421,330.792806864177,675.0510631235849,22
3,0.996069629771017,296.93597848407234,539.1022655339464,22
4,0.996373305037289,321.33690768710267,541.8272947193395,22
5,0.9966801795693081,327.56218980119166,516.9260821715717,22
1,0.988540436357259,386.06989553856124,847.2501857493694,23
2,0.9919228825487638,378.90670578488226,743.1225735181957,23
3,0.9957217691455756,317.90466857783224,562.4533838141757,23
4,0.9963471760478649,306.53070084675295,543.7756239204854,23
5,0.9962826844958041,321.03595931653564,546.998153735887,23
1,0.985760471368021,527.625778026145,944.4423189287621,24
2,0.9932248403232701,336.10486507020033,680.6001216492391,24
3,0.9959753004230617,310.7734732312056,545.5331676124841,24
4,0.9961387892833811,360.0655330654407,559.071193926462,24
5,0.9958534799597109,380.5384571416875,577.7141877891722,24
1,0.986509204847142,429.3142503211378,919.2770251668428,25
2,0.9920022681024416,477.88899158899505,739.4616841612466,25
3,0.9958104331275522,317.85075596484097,556.5946013280081,25
4,0.9958512009686944,338.3259331133923,579.5175110949759,25
5,0.9964411558610861,381.98430120936655,535.2117423199345,25
1,0.9705533136072086,956.2397218947559,1358.14408913117,26
2,0.978627290421768,830.9343276456231,1208.8211418131507,26
3,0.9760135858137784,946.5288449477445,1331.7941118718672,26
4,0.9872442258903077,747.2376529411923,1016.1522293758527,26
5,0.9811235629373025,846.2761581029745,1232.625537366926,26
1,0.9876569115555461,466.1324312449821,879.3050203601347,27
2,0.9935453520687131,317.40849888758765,664.3065493838385,27
3,0.996082424901554,326.4910177903705,538.2240394958604,27
4,0.9960133545409292,328.89896008595815,568.0795710938113,27
5,0.9966983926038294,327.5123975404773,515.5061648806886,27
1,0.9873927197317665,404.6474487567456,888.6655324883764,28
2,0.9932906982547103,398.1853361024301,677.2841574349916,28
3,0.99607834095237,279.6801074011892,538.5045072613452,28
4,0.9964856367575791,307.6580019941613,533.3701273729193,28
5,0.996864808183393,299.1344793515684,502.34629948236955,28
1,0.9262001582920943,1437.325349095374,2150.083604289006,29
2,0.9456650649636431,1327.21708341123,1927.3998946362794,29
3,0.9405635001829306,1398.6063361494544,2096.4332505460043,29
4,0.9466319454314732,1444.6241998651797,2078.4809589841925,29
5,0.9512454056895977,1372.6300298189585,1980.9746701780584,29
1,0.9877194947127063,437.85542780664764,877.0730175605075,30
2,0.9922066989579428,399.68821320335417,729.9497785432845,30
3,0.9943398164087816,402.75861777404475,646.9484626080116,30
4,0.9965940529845939,289.17469950141736,525.078587409306,30
5,0.9927463626433971,512.5082039930863,764.0980100223574,30
1,0.987926601904495,363.1340553380131,869.6457776724694,31
2,0.9934598442508304,353.1342433575914,668.6922660358482,31
3,0.9961946712894425,300.24777452761265,530.4574033726137,31
4,0.9968012325249577,270.97100431992834,508.8581095570438,31
5,0.9970366570799921,295.66825080740404,488.38476134701335,31
1,0.9871384174957195,440.72111683643107,897.5834499616064,32
2,0.9934572513441022,324.29118195700744,668.824807593369,32
3,0.9961304582272046,302.98043575477885,534.9142848221288,32
4,0.9965088822991394,327.81111825703465,531.6032286580328,32
5,0.996873847312303,282.95050034113353,501.6216148622062,32
1,0.9863389645546641,512.3786782110342,925.0590182481529,33
2,0.9930274830941676,372.088427170322,690.4417470656542,33
3,0.9954633028146215,297.9133516431341,579.1943572965946,33
