fold,r2,mae,rmse,trial_number
1,0.9864232682399963,418.88783025206067,922.2002828269533,0
2,0.9902160312259044,386.87187192296744,817.8803681702457,0
3,0.9938894525114178,349.4018686844131,672.1937776077691,0
4,0.9943816927788236,367.57149715049724,674.3853172848256,0
5,0.9951222569445958,329.99060650661517,626.5858867470434,0
1,0.9885053305407765,355.7164567066139,848.5469482577317,1
2,0.9928699191243341,318.66092009902883,698.199418620143,1
3,0.9950523936655818,300.13747912728326,604.8560021037271,1
4,0.9963372048194287,287.7410458911226,544.5172988342174,1
5,0.996253640043832,278.8210433232805,549.1309225713969,1
1,0.9856831524589544,437.79643576196355,947.002951131986,2
2,0.9900098170445256,393.84980348395135,826.4545513670274,2
3,0.9936774389644824,361.29628800283916,683.7556711222264,2
4,0.9940040652664267,384.9019437308468,696.6807534518405,2
5,0.9946853769671855,346.1454259054623,654.0446260398946,2
1,0.9884558941156585,358.3862228866385,850.3697114397178,3
2,0.99294996115274,318.5477548227069,694.2693772342482,3
3,0.9950694479147142,300.983510268129,603.8126420633039,3
4,0.9962650632019527,288.966062745261,549.8534989555111,3
5,0.9962706849426576,280.0556626398701,547.880301751411,3
1,0.9848717728824793,457.2805423685174,973.4679334935163,4
2,0.989259576847517,415.01689744310266,856.925271736659,4
3,0.9930303090071989,373.05185580709673,717.8954288641415,4
4,0.993205688617479,411.3515014682145,741.6142869465239,4
5,0.994247123911369,364.76379182897335,680.4773261527156,4
1,0.9840624245524208,490.1023023287137,999.1685580131556,5
2,0.9876094193114145,460.1439950814436,920.4031258412696,5
3,0.9922244516860611,404.55131979234454,758.2631283079685,5
4,0.99239694706185,446.1582999183633,784.5116037002522,5
5,0.9931132194676804,403.67894546731895,744.5249746936173,5
1,0.9853854740706391,442.58239088785336,956.797426123822,6
2,0.9896396279302189,404.0752887360575,841.62752619512,6
3,0.9933209844398633,366.3490242712677,702.7658571557122,6
4,0.9935524999951693,394.26759019312266,722.4387624357869,6
5,0.9946252995165129,349.67084523560374,657.730956380838,6
1,0.988581196873104,351.20708879101414,845.7420516161123,7
2,0.9929363285027434,316.45115611148844,694.9403068959303,7
3,0.9950409474413693,299.47916852139787,605.5552612325074,7
4,0.9963813318920844,286.5980197445007,541.2273575586936,7
5,0.9963628299348744,274.58587199420606,541.0693747536874,7
1,0.988669729061147,350.15431965904133,842.4570711447584,8
2,0.9928698297235654,317.6006932723966,698.203795805348,8
3,0.9951139166622438,298.79264426269003,601.0835756230949,8
4,0.9962329063701464,291.5086004392447,552.2154734710194,8
5,0.996118544167605,280.4819132390705,558.944224836682,8
1,0.9864698598271507,414.700858540431,920.6165548164385,9
2,0.989780351544683,390.3676707994746,835.8921240436132,9
3,0.9939899081677026,348.06314201413255,666.6455433609242,9
4,0.9943381964995172,370.6801964482158,676.9907904303705,9
5,0.9949228578844643,334.9026122601478,639.2648258059694,9
1,0.9885887989306961,355.6586390819665,845.460478750826,10
2,0.9928780598109747,318.30887606064783,697.8007242669415,10
3,0.9952781172244743,295.69096338571774,590.8973288299844,10
4,0.9964633665787821,282.049568714203,535.0574159150271,10
5,0.9963360277342727,279.50402058352836,543.059277853909,10
1,0.9886133848868386,354.30527077880754,844.5491959443729,11
2,0.9929136581361068,317.2878737234656,696.0545950541167,11
3,0.995277785805465,295.35724466150555,590.9180653857698,11
4,0.9964516422973413,282.51753076557065,535.9435656156737,11
5,0.9963591471979334,278.8207450806891,541.3432294262207,11
1,0.988653633641517,354.7173315331579,843.0552425367785,12
2,0.992868165542682,317.79979352778815,698.2852713924367,12
3,0.9952974431089612,294.4812738969008,589.6868665330702,12
4,0.9964490223146726,281.97688610818136,536.1413900559529,12
5,0.9963444082281224,278.9984518395299,542.4378607156509,12
1,0.9886931794249267,353.06442411876594,841.5847990808386,13
2,0.9928075515272992,318.7566908121381,701.2463834222673,13
3,0.9953242718145019,293.7060523610448,588.0023399205791,13
4,0.996473212500035,281.46322181248337,534.3121019025405,13
5,0.9963135317247307,279.86142765262673,544.7238608836388,13
1,0.988674153348141,352.3331284887279,842.2925721749707,14
2,0.9929097337341973,316.4988693178096,696.2473051964351,14
3,0.9952804433291115,294.67073628871583,590.751766307607,14
4,0.9964973355514306,280.79982525809004,532.4816323272355,14
5,0.9963933256513386,276.30527260187046,538.7963121478067,14
1,0.988622858211135,352.3726426742743,844.1978029661203,15
2,0.9925996652388223,323.1428286207606,711.3084006114179,15
3,0.995377912141848,292.9763538911123,584.6198058481833,15
4,0.9964058963983725,282.6147431467851,539.3872299440509,15
5,0.9962483047050631,280.7633821729724,549.5218029414114,15
1,0.9885777572362439,356.17000689070767,845.8694216419278,16
2,0.9928458563124073,319.0162852244154,699.3765785031178,16
3,0.9952003610326235,295.95064017651515,595.7426754409931,16
4,0.996412088683992,285.6630235656267,538.9223741638575,16
5,0.9964123224600163,275.4260397298601,537.3754846931098,16
1,0.9887634044450319,350.8857849299072,838.9672479759515,17
2,0.9928424040122185,318.1089239479351,699.5453035658095,17
3,0.9953531238735689,293.18030702286,586.1853683371975,17
4,0.9964825933430023,280.6666754683951,533.6010248394275,17
5,0.9963480176565153,278.6205989076944,542.1700006442468,17
