fold,r2,mae,rmse,trial_number
2,0.9887482751274244,347.76153909209006,839.5318643760513,0
3,0.9928758001641219,315.9288566058665,697.9114144804295,0
4,0.9953102342184497,292.50299093892704,588.8843365937455,0
5,0.9965578905489256,276.77285289446394,527.8587224278115,0
6,0.9964119498949529,272.8453766918374,537.4033860487774,0
2,0.9888084017231792,347.27843409097517,837.2857283251257,1
3,0.9929505975424067,315.4598267007073,694.2380415325428,1
4,0.995262665991267,294.0669115631967,591.86332439223,1
5,0.9965233915854401,277.5929368864157,530.4973916582152,1
6,0.9964064433480705,273.29061129816387,537.8156019244701,1
2,0.9887392600273637,348.1331753563051,839.8681216367931,2
3,0.992984598060425,314.45475328086843,692.5618013019393,2
4,0.9952622847404642,294.87952810746805,591.8871398786828,2
5,0.99655471758663,276.8487635999884,528.1019584502303,2
6,0.996423496867264,272.89573584485044,536.5379602064331,2
2,0.9887971559157596,347.81278870854476,837.7062933606182,3
3,0.9930002260773678,313.5557037443038,691.7899708273361,3
4,0.9953201493606222,292.22310123990826,588.2614951121752,3
5,0.9965375049576887,277.7609715241079,529.4195134137809,3
6,0.9964087254080632,272.3057671162972,537.6448070128249,3
2,0.988766965283857,349.10056845579334,838.8343045123898,4
3,0.9929193557906358,314.7814944701276,695.7747132626795,4
4,0.9952759869498377,293.612681885786,591.0306052909439,4
5,0.9965187076730673,278.1329462047039,530.8546316233842,4
6,0.9964204725895809,272.2509599643167,536.7647595184097,4
2,0.98879018848093,347.47447721339256,837.9667520770773,5
3,0.993004065927399,313.5431571005582,691.6001979739505,5
4,0.9952898949127299,293.3620221737301,590.15993762884,5
5,0.9965325931984242,277.54997814082014,529.7948871864368,5
6,0.9963989071412687,272.5999544042661,538.3792450274682,5
2,0.9887814302055051,347.98972538151406,838.2940417300948,6
3,0.9929638668345134,314.25082028031323,693.5843416955685,6
4,0.9952512765453742,294.57364520997515,592.5743728958096,6
5,0.9965165586774705,278.3006655349774,531.01845415809,6
6,0.99640761756974,273.2536823359179,537.7277270985481,6
2,0.9887661561261849,347.8673520127893,838.8645161607773,7
3,0.9929801297192483,314.7822342450373,692.7823239344297,7
4,0.995288575190037,293.31965188305804,590.2426101912432,7
5,0.9965461392553383,277.11265561617165,528.7590043155095,7
6,0.9963664819520192,273.9531602498866,540.7976675112267,7
2,0.9887899639802422,348.26247902748923,837.9751430821327,8
3,0.9929850711199698,313.1771326571991,692.5384506445934,8
4,0.9952739369497324,293.7390976076901,591.1588311629832,8
5,0.9965309821496724,277.75917442794577,529.9179512399219,8
6,0.9963880945647827,272.947560837698,539.186903123736,8
2,0.9887707958452493,348.03224698382206,838.691267463093,9
3,0.9929731054184022,313.61658575067815,693.1288470561229,9
4,0.9952895353810649,293.28886367446887,590.18246123842,9
5,0.9965332956449915,278.2018758479552,529.7412200698791,9
6,0.996420886238114,272.0191144574124,536.7337444786046,9
2,0.9888049537070387,347.7786821201762,837.4146979461976,10
3,0.9929393062160264,314.6288585938672,694.7938143025939,10
4,0.9952596302397682,294.27244339516363,592.052931269978,10
5,0.9965340210099451,278.42198648607996,529.6857962756217,10
6,0.9964526711902072,272.01848497725393,534.3451501468465,10
2,0.9887785910547118,348.08152986597577,838.4001110719688,11
3,0.9929423542245194,314.35391098406814,694.6438314460352,11
4,0.9952993391435049,292.50973919666086,589.5679759575297,11
5,0.9965146327190206,279.0610806499168,531.1652311611188,11
6,0.9964389170105029,272.0086084749127,535.3800653314576,11
2,0.988727823966842,348.5852049390526,840.2944855058538,12
3,0.9929783263300596,312.891377874115,692.8713053453623,12
4,0.9953037456023133,293.2421380146114,589.291576936906,12
5,0.996516682432422,278.8849216820343,531.0090214246707,12
6,0.9964253602263733,272.069267297134,536.3981737849376,12
2,0.9888062022227418,348.46520698821234,837.3680007497323,13
3,0.9929508056868718,314.1727787486036,694.2277922331625,13
4,0.9952681484274097,293.9766092682171,591.5207485656003,13
5,0.9965113304540043,278.8986368384582,531.416801934159,13
6,0.9964093240986909,272.47286681926545,537.5999905674579,13
2,0.9887888461524466,348.3796709593584,838.016922098504,14
3,0.9930304263759936,313.3764364366673,690.2960049200086,14
4,0.9952779883995333,293.0061495204097,590.9053893640921,14
5,0.9965223586311097,277.34011377339164,530.5761953104213,14
6,0.9964277653256121,272.4420831335425,536.2176929540198,14
2,0.9887543686252834,347.79314780975193,839.3045046388543,15
3,0.9929139554726402,314.04805531650817,696.0399919884363,15
4,0.9952967786573333,293.1224454851248,589.7285252059879,15
5,0.9965547815846534,277.5805194981597,528.0970535346999,15
6,0.9963817012684193,273.7493013411995,539.6638892528124,15
2,0.9887224097404785,349.28100546227984,840.4962654624248,16
3,0.9929149893449475,315.57089086978215,695.9892131145396,16
4,0.9952724253309313,293.979798208296,591.2533639010268,16
5,0.9965617294845054,277.033229140864,527.5642836566417,16
6,0.9964093819181105,272.9648760491702,537.5956621561205,16
2,0.9887346244723189,348.1980028696006,840.0409723699319,17
3,0.9929656797106738,314.0069119862307,693.494984125787,17
4,0.9952590107256077,294.19191975051694,592.0916174073769,17
5,0.9965045941549787,278.6543923026057,531.9296129136451,17
6,0.9964012291806679,273.01298603026845,538.2056394777518,17
2,0.9887493451813906,348.6106010930701,839.4919431297138,18
3,0.9929901483701151,313.8514357800479,692.2877832839582,18
4,0.9953194915754409,292.41271632479976,588.302835758264,18
5,0.9965367972032065,277.41514759538495,529.4736188902167,18
6,0.9964143235142058,272.2845058547751,537.2256011770422,18
2,0.9887392553395793,347.68960513381955,839.8682964530244,19
3,0.9929979666977339,313.4957218995946,691.9016094374897,19
4,0.995309198314886,292.6465312803211,588.9493711528652,19
5,0.9965286791372133,277.8962672307997,530.0938230879034,19
6,0.996423709349963,272.4096536254945,536.5220219109735,19
2,0.9887909201540156,347.35670490251493,837.939404261146,20
3,0.9929781875408573,314.4909109549274,692.878152899455,20
4,0.9952667257451049,293.5626985526777,591.6096654349861,20
5,0.9965181578356007,277.95948675727584,530.8965517228967,20
6,0.9964351596475619,272.2087272980719,535.6624354530056,20
2,0.9887301003384266,348.85550503282695,840.2096341397381,21
3,0.9929725691315551,314.04842818345327,693.1552960648397,21
4,0.9952631068013627,294.19296408247885,591.8357872376135,21
5,0.9965384965248753,277.9978146385796,529.3437020985664,21
6,0.996412438380619,273.58652419957315,537.3668031167231,21
2,0.9886974529266077,349.2507698767407,841.4257422563918,22
3,0.992955406913646,313.65951654650814,694.0011832912166,22
4,0.9952928968594209,293.1910386069061,589.9718408653595,22
5,0.9965660471199972,276.86771243121143,527.2329330815087,22
6,0.9963920396163959,273.0989252545676,538.8923631161653,22
2,0.9887524011921298,348.78878221461025,839.3779199606241,23
3,0.9928735058213524,315.5251045005538,698.0237863358739,23
4,0.9952547943111778,293.5801116520585,592.3548482093556,23
5,0.9965080006541628,278.0704549730739,531.6703498165833,23
6,0.9964001880130907,272.9066065304955,538.2834885220188,23
2,0.9887245515370193,348.96640254915707,840.4164497646105,24
3,0.9929557521030709,314.70194461299826,693.9841798389874,24
4,0.995265332878024,293.4013334763441,591.6967059242827,24
5,0.996541638720449,277.35557820073154,529.1033904697582,24
6,0.9964100006968072,273.1125143022517,537.5493376698454,24
2,0.988754204366422,349.18962165984897,839.3106342501803,25
3,0.992956496688486,313.8131153269969,693.9475013914328,25
4,0.995297824704121,292.7378366432327,589.6629405897561,25
5,0.9965603830112834,276.12359095754334,527.6675741984266,25
6,0.9964443846621067,272.68549892906157,534.9688988168167,25
2,0.9887335980303168,348.9885783163311,840.0792415645648,26
3,0.992973348607922,313.29571524738833,693.1168529150501,26
4,0.9952820711825066,294.09688680284677,590.6498774785604,26
5,0.9965168390757247,278.71537944509356,530.997081666029,26
6,0.9964529143235608,270.66288803973634,534.3268378671708,26
2,0.9887625342071402,348.08903896117226,838.9997349934825,27
3,0.9930060411255544,314.0369169201724,691.5025595560152,27
4,0.995281957952604,294.1330988107755,590.6569652102098,27
5,0.9965322454474428,278.101556256727,529.8214534481152,27
6,0.9964236930406228,272.78898873177945,536.5232452889169,27
2,0.988739251987951,347.895350503512,839.8684214414802,28
3,0.9929429666275111,314.3286203748922,694.6136931249315,28
4,0.995249092573627,294.18620600068573,592.7106218199677,28
5,0.996531370939877,277.74898932688643,529.8882551284373,28
6,0.9964010380319902,273.4314558001219,538.2199326816539,28
2,0.9887927097924971,347.4325579326914,837.8725090081364,29
3,0.9930021455745134,313.94961368923475,691.6951120550514,29
4,0.9953105060878953,292.0027188338427,588.8672673000983,29
5,0.9965473519192056,276.8363524815929,528.6661715004514,29
6,0.9964174895969297,272.9801682945192,536.9883689095951,29
2,0.9887285968827041,348.7744342591689,840.2656761584558,30
3,0.992954312347322,314.4938470667264,694.0550970382458,30
4,0.9953054256702197,293.59863811434997,589.1861590501533,30
5,0.996531798737703,278.24629643339676,529.8555776599711,30
6,0.9964212431324424,271.6872355876839,536.7069833838807,30
2,0.9887782964289483,346.7662057865551,838.4111173837705,31
3,0.9930181111058379,313.1749927616873,690.9056139257593,31
4,0.9952684121567478,293.49728811252345,591.504264157033,31
5,0.9965389375331596,277.97858831416454,529.3099808564156,31
6,0.9964215843602082,272.7324643104648,536.6813957710131,31
2,0.9887448974011079,348.2621650894941,839.6578671053416,32
3,0.9929652586969002,313.4607638676157,693.5157371310264,32
4,0.995291940546921,292.7129417921947,590.0317682533872,32
5,0.9965309310950198,277.8172356573864,529.9218507121301,32
6,0.9963996764690982,273.07445441947664,538.3217330059373,32
2,0.9887294544900755,348.5455484337039,840.2337088985581,33
3,0.9929867544354142,314.05418161304544,692.4553542488455,33
4,0.9953018743302893,293.336557291787,589.4089699614656,33
5,0.9965388842637611,277.0614196395254,529.3140541599256,33
6,0.9964094745797067,272.7609752963354,537.5887253568712,33
2,0.9887717030275955,348.30575477589105,838.6573887808314,34
3,0.9929847018647636,313.3747683793931,692.5566774910513,34
4,0.9953045342267066,292.4716109780025,589.2420960969932,34
5,0.9965103546033136,279.274402020579,531.4911206947792,34
6,0.996408591913476,273.2002914838011,537.6547995659939,34
2,0.9888013920606216,347.7171327690823,837.5478969431261,35
3,0.9930118020035495,312.99211678841334,691.2177078277177,35
4,0.9952705053034787,293.9861161900082,591.373415674921,35
5,0.9965520955004411,277.3564115626542,528.3028803658028,35
6,0.9964015235163143,273.02483966380686,538.1836296927538,35
2,0.9887577275897388,347.88353489477663,839.1791490917767,36
3,0.9929242225400879,314.00780628373786,695.5355582396165,36
4,0.9953210503791867,292.5485645272365,588.2048629583612,36
5,0.9965155240686603,278.42850191123966,531.0973065819534,36
6,0.9963851050223316,273.65087762263903,539.4099971054877,36
2,0.9887728897418003,347.462864706013,838.6130689281932,37
3,0.9929774356611615,313.122936065623,692.9152478142469,37
4,0.9952872631374307,292.9699574713376,590.3247907923804,37
5,0.99648952637616,279.54471490379376,533.0748845985365,37
6,0.9964128226557274,272.2855673478288,537.3380228143416,37
2,0.9887612825935144,348.37686674795907,839.0464570161175,38
3,0.992987560349192,314.1348195645081,692.4155670106542,38
4,0.9952756371931646,293.695833106441,591.052484260146,38
5,0.9965194878136405,277.67732992260306,530.7951473281676,38
6,0.9964028304709355,273.47826943472785,538.0858875700593,38
2,0.9887572851298817,348.40289382086894,839.1956626319021,39
3,0.9929933460130144,313.3464397624093,692.129866844328,39
4,0.995250837341405,294.49811435240895,592.6017755232242,39
5,0.9965409874573892,277.30777797755917,529.1532073113199,39
6,0.9964003717969908,272.9901819266699,538.2697476513919,39
2,0.9887703885180504,347.9183770690697,838.7064786330919,40
3,0.9929491110516894,313.8038413791284,694.3112338359762,40
4,0.9952931062404714,293.27824240393693,589.9587191752387,40
5,0.9965392191267952,276.99680953473063,529.2884479665692,40
6,0.9964291740717155,272.0317589493561,536.1119511504426,40
2,0.9887687679426688,349.1079841743096,838.7669944416988,41
3,0.9929578582377282,313.8393185639156,693.8804261507339,41
4,0.9952588433152463,293.9617320288603,592.1020710691495,41
5,0.9965350549645913,278.4164689921259,529.6067836874985,41
6,0.996387802809755,273.872763429238,539.2086793463021,41
2,0.9887573683792009,348.0398993269463,839.1925556155945,42
3,0.9929833106083934,313.72258217061335,692.6253471401922,42
4,0.9953158403162367,292.6403896135023,588.5322582045396,42
5,0.9965300750365577,277.7743998208904,529.9872308060569,42
6,0.9964406787613357,272.0608749677978,535.2476164438375,42
2,0.988752063919837,348.6821620402244,839.3905047264109,43
3,0.9930375467307934,311.9472481512224,689.9432998084174,43
4,0.9952786006952146,293.89589726761386,590.8670772443792,43
5,0.9965454812418387,277.3474671950777,528.8093702709764,43
6,0.9964305694195548,272.15919545260937,536.0071944693825,43
2,0.9887599741212791,347.97516250017634,839.0952987566939,44
3,0.9929863159909348,313.24720369231653,692.4769988982132,44
4,0.995228924738736,295.15330384475385,593.9673323536134,44
5,0.9965220221585621,278.70482118219036,530.6018621327366,44
6,0.9963820848668022,273.37928403697885,539.6352819296438,44
2,0.9887576417045377,348.51284304821075,839.1823545350221,45
3,0.9929683625421832,314.3898206087478,693.3627248917736,45
4,0.9952813319365155,293.2787671854043,590.6961497378854,45
5,0.9965100499833585,279.5263692067332,531.5143177893066,45
6,0.9964261407932916,272.3881258041755,536.3396059913523,45
2,0.9887573555315554,347.2346133326889,839.1930351138911,46
3,0.9929613995502878,313.6903945009237,693.705936872444,46
4,0.9952377773436574,294.4152319410317,593.4160311059362,46
5,0.9965610210112894,277.9311190383546,527.6186345157282,46
6,0.9964104891610164,273.4430629748018,537.5127662777422,46
2,0.9887604343318208,348.1685633291436,839.0781206621352,47
3,0.9929344859498782,314.048399841675,695.0309382880466,47
4,0.9952691211848397,293.33637725424944,591.459944061287,47
5,0.9965472745270113,277.5917376477002,528.6720965766347,47
6,0.9964098337316367,273.64517106621616,537.5618378078249,47
2,0.988771043918009,347.85509697032273,838.6820033334428,48
3,0.9930156333512788,313.25656127142656,691.0281984230975,48
4,0.9952832564002084,293.12530884083867,590.5756825628686,48
5,0.9965237275707215,277.85771240274295,530.4717569590092,48
6,0.9963891948927777,273.56475388410763,539.1047681335198,48
2,0.9887565589340879,348.6236564697019,839.222765094554,49
3,0.9929705718483446,313.8709341524999,693.253790742847,49
4,0.9952998068613242,292.4970725952306,589.538644091629,49
5,0.99651398330911,278.5136912059005,531.214713449658,49
6,0.9964074468886781,273.32887618204495,537.7405011908212,49
