fold,r2,mae,rmse,trial_number
2,0.9851316698979994,476.64778024496496,965.0698092391694,0
3,0.989614272568887,433.6946293438251,842.6567715455656,0
4,0.9936300998984784,388.20761445928656,686.3106478425713,0
5,0.9935442972343294,429.1834791607931,722.8981737396798,0
6,0.994626042686691,388.8684324882721,657.685481946343,0
2,0.9851242457686814,473.77375137229967,965.3107209235142,1
3,0.98907588883517,443.85600021269823,864.221985254102,1
4,0.9934985039922256,391.63316732570195,693.3636603576479,1
5,0.9934569385158332,433.1359987545624,727.7728753787795,1
6,0.994555999402802,387.16572620401735,661.9576888992892,1
2,0.9858597511429752,459.3112297372333,941.144175108011,2
3,0.9902659677774136,421.158651720753,815.7905019213815,2
4,0.9940903808889711,375.1032889034975,661.0497896838258,2
5,0.9941715713895838,406.93559754350736,686.8803700583525,2
6,0.9949973973572682,369.4932518386813,634.5548283862703,2
2,0.9864472994360343,446.047533492326,921.3837611663595,3
3,0.990484161601808,415.92986067363324,806.5954797874607,3
4,0.9942818450602067,365.44386423870264,650.2530315396648,3
5,0.9944174558806772,395.6510554105705,672.2355047886488,3
6,0.995171093294467,364.0352618352392,623.4412821717735,3
2,0.9864434387675239,443.13148684345464,921.5149860822327,4
3,0.9908663907777429,407.9635193122,790.2299182229013,4
4,0.9944920817212205,358.471332574836,638.1873186851906,4
5,0.9946960857136077,387.5864456010285,655.2448450640397,4
6,0.9953890344568251,354.92805873560775,609.2100895359157,4
2,0.9854420276403735,471.780764588422,954.9443807641547,5
3,0.9894680852533232,436.8180136838325,848.5665776863943,5
4,0.9936634508023703,386.5487701524979,684.511630677048,5
5,0.9936879044344223,424.9901318601319,714.8125143549726,5
6,0.9946673281393931,386.1529175961012,655.1542751444447,5
2,0.9860493717307417,458.198490242196,934.812509850656,6
3,0.9903533393031254,418.44339831883076,812.1210294857328,6
4,0.9942704798729829,365.21485603977504,650.8989198572386,6
5,0.9941080253069292,407.0131097040557,690.6146723199128,6
6,0.9951298703847845,364.6470680388054,626.0966915317368,6
2,0.9862650810619172,449.4593624604895,927.5571608753613,7
3,0.990430099524778,419.59214540727146,808.8834793166965,7
4,0.994328964068084,364.371279444022,647.5683667967985,7
5,0.9944173512655254,397.8388474792072,672.2418035019535,7
6,0.9951197113654879,366.738393382263,626.7493656221445,7
2,0.9855485731669855,465.428339804791,951.4434846806317,8
3,0.9896719886655163,433.81927443144144,840.3120818061084,8
4,0.993657528508708,384.76216243664976,684.8314366151494,8
5,0.9937113804907752,425.7743523262071,713.4820044787352,8
6,0.9947356285441578,381.1286637195539,650.9451743200281,8
2,0.9859778841760817,456.9610029282095,937.2045909221573,9
3,0.9903654314955926,419.54598843194776,811.6118686732793,9
4,0.9941511483934314,370.7753319581839,657.6422818826657,9
5,0.9941521259444961,407.8844892769903,688.0252388932159,9
6,0.9950768417904656,367.76200679651265,629.4961019299858,9
2,0.9857843214499179,462.23076605755483,943.6510544476314,10
3,0.9898509968811011,430.5389221719505,832.9979791631444,10
4,0.993918835994007,380.81350633336297,670.5756578039916,10
5,0.9940568808912371,414.0881354716171,693.6055851070367,10
6,0.9948336472354776,378.9139605482772,644.8566420341183,10
2,0.9863190913314944,446.726267486752,925.7316328280407,11
3,0.9904238605205335,417.70157924755716,809.14710824454,11
4,0.9943134637159172,366.1188337715221,648.4527456336849,11
5,0.9943915197355281,401.22784392389764,673.7952769512066,11
6,0.9952259455836926,362.9302585062742,619.8902868973349,11
2,0.9854317737838676,467.6038417760589,955.2806274199553,12
3,0.9896006341175568,432.15049051772127,843.209874972521,12
4,0.993778343828824,381.49937819643986,678.2775294283568,12
5,0.9935002127722629,430.54889258747625,725.3622243247464,12
6,0.9947261723512718,382.0538480363484,651.5295462104908,12
2,0.9857042973844816,461.116501861962,946.303366049149,13
3,0.9897497832130553,433.3309219770495,837.1413230281053,13
4,0.9938163858210239,380.30649801922976,676.2007036090577,13
5,0.9936718218935858,422.8640101953114,715.7225677598282,13
6,0.994835545141028,377.0499277770824,644.7381842480329,13
2,0.9860656629332666,456.001504914049,934.2665248131971,14
3,0.9903136533113283,421.55231801946996,813.7898322697769,14
4,0.9941869643963263,371.11197595535464,655.6256220952238,14
5,0.9943567299300932,398.9786396429644,675.8818463892967,14
6,0.9951004044348103,368.57038263911704,627.9878848224407,14
2,0.9858037201101177,460.5878588167075,943.0069833511051,15
3,0.9900554515143446,424.25494702612366,824.5647970065497,15
4,0.9939184966497413,377.92217622620166,670.5943674481875,15
5,0.9940592522560998,412.0668285814048,693.4671934655508,15
6,0.9949642138210261,372.31730561541906,636.6559316766636,15
2,0.9862381342026867,451.73053167693695,928.4666130868671,16
3,0.9903588033072477,417.1084376425526,811.8909985285759,16
4,0.9942018522714738,365.5228528493161,654.7855162730841,16
5,0.9943208351720774,399.2745729858272,678.0279566253604,16
6,0.9950793923906563,366.4587868586845,629.3330154699901,16
2,0.9861041146979924,453.4664379283284,932.976581349609,17
3,0.9903108921841374,419.763420826726,813.9058108322478,17
4,0.9941484993350792,370.0701509564475,657.7911944966305,17
5,0.994233723991284,403.4157415980561,683.2082117568763,17
6,0.9950581104235355,370.58355975251783,630.6925014263895,17
2,0.9867622349133327,438.1100966017028,910.6153509316279,18
3,0.9911691478793807,400.8312671303108,777.0224395893949,18
4,0.9947317626056533,349.00839659279325,624.1472976295436,18
5,0.9946865220369465,387.11183144840925,655.8353266572642,18
6,0.9954683821356598,351.49039555383507,603.9455547268958,18
2,0.9855935879668452,464.5676462544548,949.9605016277609,19
3,0.9896538963534954,433.606761434467,841.047776974595,19
4,0.9938652607407717,380.80306461807027,673.5230770328519,19
5,0.9938309451084109,418.70495697135306,706.6667895141635,19
6,0.9947716774947702,378.8402077202071,648.7126000474681,19
2,0.9853666734633504,469.45922191784456,957.4126561784859,20
3,0.989421089416779,440.26760972754795,850.4577204028819,20
4,0.9936762835182797,386.3999202653055,683.8181463437033,20
5,0.9937682985717824,424.0126880765375,710.2458145109609,20
6,0.9946607503801109,384.48468665320047,655.5582114018091,20
